,asset,scenario,param,sharp_ratio,tot_pnl,std_pnl,num_days,max_drawdown,max_dd_period,profit_dd_ratio,all_profit,tot_cost,win_ratio,num_win,num_loss,profit_per_win,profit_per_loss
6,y,2,2,0.6200879543,384,38.551210505,255,-368,51,1.0434782609,280,-108,0.4074074074,11,16,96,-48.5
7,y,12,12,0.6173433342,388,39.125964121,255,-332,51,1.1686746988,352,-86,0.5238095238,11,10,83.8181818182,-57
8,y,9,9,0.6018349155,358,37.0310253025,255,-292,87,1.2260273973,244,-112,0.3571428571,10,18,105.2,-44.8888888889
9,y,7,7,0.5402583581,284,32.7247950711,255,-336,87,0.8452380952,138,-132,0.3333333333,11,22,100.3636363636,-43.9090909091
0,p,6,6,1.7521477776,1132,40.2194182663,255,-386,61,2.932642487,1048,-74,0.4444444444,8,10,181.5,-40.4
1,p,13,13,1.683746608,1078,39.8567715151,255,-358,61,3.0111731844,1016,-78,0.4736842105,9,9,165.7777777778,-52.8888888889
2,p,10,10,1.5264560658,908,37.0306750819,255,-356,61,2.5505617978,794,-106,0.5,13,13,105.2307692308,-44.1538461538
3,p,14,14,1.4867316265,774,32.4092119179,255,-356,62,2.1741573034,694,-166,0.4146341463,17,23,86.1176470588,-33.4782608696
4,p,5,5,1.3997457649,868,38.6038529797,255,-368,61,2.3586956522,792,-82,0.5,10,9,120.6,-46
5,p,11,11,1.3241862895,800,37.6097970608,255,-322,61,2.4844720497,698,-94,0.5217391304,12,11,97,-42.3636363636
6,p,4,4,1.2940432702,790,38.00479399,255,-322,61,2.4534161491,680,-90,0.5,11,11,100.1818181818,-38.3636363636
7,p,7,7,1.2810060911,740,35.9617332172,255,-382,71,1.9371727749,624,-134,0.4242424242,14,18,99,-42.3333333333
8,p,16,16,1.2667649487,706,34.6951486896,255,-366,61,1.9289617486,582,-150,0.3513513514,13,21,106.9230769231,-38.4761904762
9,p,3,3,1.2182422772,750,38.3254873793,255,-374,63,2.0053475936,678,-102,0.52,13,12,95.2307692308,-46.6666666667
0,l,6,6,2.0042836423,2545,79.0476010772,255,-540,93,4.712962963,2370,-165,0.4375,7,9,476.4285714286,-107.2222222222
1,l,5,5,1.7654333916,2000,70.5242942865,255,-440,14,4.5454545455,1760,-195,0.4736842105,9,10,316.6666666667,-109
2,l,13,13,1.6714289092,1850,68.9039166507,255,-455,142,4.0659340659,1665,-205,0.5,10,10,282,-115.5
3,l,18,18,1.5455848086,1915,77.1322549004,255,-605,117,3.1652892562,1530,-315,0.4516129032,14,17,216.4285714286,-88.2352941176
4,l,17,17,1.4667647829,1720,73.0008745329,255,-490,1,3.5102040816,1190,-365,0.4722222222,17,19,156.7647058824,-77.6315789474
5,l,12,12,1.4632934611,1615,68.7070314304,255,-445,28,3.6292134831,1285,-235,0.4347826087,10,13,266,-105.7692307692
6,l,4,4,1.3873474781,1555,69.7758658336,255,-560,91,2.7767857143,1255,-245,0.4166666667,10,14,268.5,-102.1428571429
7,l,2,2,1.3669604349,1685,76.736864641,255,-890,117,1.893258427,1235,-295,0.4482758621,13,15,221.1538461538,-109.3333333333
8,l,20,20,1.2915106088,1675,80.7378022532,255,-905,111,1.8508287293,1270,-275,0.3703703704,10,17,275,-87.0588235294
9,l,1,1,1.2869580598,1465,70.8652495098,255,-570,22,2.5701754386,1135,-345,0.4705882353,16,18,163.75,-82.5
0,pp,14,14,3.1310689454,2601,51.7139619278,255,-272,88,9.5625,1877,-81,0.6,24,16,125.625,-71.125
1,pp,15,15,2.5309485513,2406,59.1796504965,255,-580,107,4.1482758621,1698,-73,0.5555555556,20,16,147.7,-78.5
2,pp,11,11,2.2435710823,2360,65.4835566116,255,-652,81,3.6196319018,1758,-49,0.5833333333,14,10,196.6428571429,-99.5
3,pp,8,8,2.2261346071,2223,62.1653139794,255,-443,70,5.0180586907,1491,-65,0.65625,21,11,137.0952380952,-126.1818181818
4,pp,16,16,2.2167034678,2123,59.6214430694,255,-514,107,4.1303501946,1406,-71,0.5714285714,20,15,136.7,-88.5333333333
5,pp,12,12,2.0913571015,2322,69.1184690263,255,-695,81,3.3410071942,1678,-47,0.5652173913,13,10,219.5384615385,-117.6
6,pp,4,4,2.0866876017,2245,66.9759680745,255,-795,81,2.8238993711,1579,-47,0.5217391304,12,11,222.25,-98.9090909091
7,pp,17,17,2.066493671,1987,59.8582309483,255,-531,107,3.7419962335,1211,-67,0.5757575758,19,14,134.4736842105,-96
8,pp,0,0,2.020539888,2002,61.6817568091,255,-506,107,3.9565217391,1340,-69,0.5882352941,20,14,137.7,-101
9,pp,7,7,2.0181285365,1924,59.3494002044,255,-384,107,5.0104166667,1430,-77,0.6052631579,23,15,125.9130434783,-97.7333333333
0,jd,20,20,0.0488682125,21,26.7517951851,255,-330,167,0.0636363636,-55,-64,0.4375,14,18,52,-43.5
1,jd,15,15,-0.0599733507,-21,21.7982220062,255,-323,175,-0.0650154799,-178,-83,0.3658536585,15,26,45.3333333333,-33
2,jd,13,13,-0.1226445874,-52,26.3945976993,255,-307,162,-0.1693811075,-173,-55,0.4814814815,13,14,59.3076923077,-67.4285714286
3,jd,8,8,-0.1380202997,-51,23.0031493907,255,-262,174,-0.1946564885,-181,-79,0.3846153846,15,24,48.6666666667,-37.9583333333
4,jd,1,1,-0.1981055613,-74,23.2538647614,255,-304,167,-0.2434210526,-171,-73,0.3888888889,14,22,49.9285714286,-39.5454545455
5,jd,14,14,-0.2340533483,-82,21.8101716656,255,-401,83,-0.2044887781,-257,-93,0.3913043478,18,28,38.8333333333,-34.1428571429
6,jd,6,6,-0.3227516404,-141,27.1963576833,255,-379,210,-0.3720316623,-254,-52,0.4230769231,11,15,61.6363636364,-62.1333333333
7,jd,9,9,-0.3337542542,-130,24.2480395742,255,-329,174,-0.3951367781,-215,-73,0.4166666667,15,21,45.7333333333,-42.9047619048
8,jd,5,5,-0.4237398928,-186,27.3258501112,255,-441,223,-0.4217687075,-250,-58,0.4137931034,12,17,62.0833333333,-58.5294117647
9,jd,19,19,-0.4807784148,-199,25.7672579551,255,-433,167,-0.4595842956,-270,-70,0.4,14,21,42.6428571429,-41.2857142857
0,a,5,5,1.2678096629,521,25.5825455299,255,-152,28,3.4276315789,484,-37,0.6666666667,12,6,52.6666666667,-24.6666666667
1,a,4,4,1.1287557108,451,24.8734868981,255,-163,38,2.7668711656,336,-45,0.6363636364,14,8,44.5714285714,-36
2,a,6,6,0.9460904497,409,26.9122952961,255,-175,35,2.3371428571,314,-33,0.625,10,6,47.7,-27.1666666667
3,a,12,12,0.807350646,315,24.2889335445,255,-149,40,2.1140939597,263,-46,0.5652173913,13,10,41.4615384615,-27.6
4,a,11,11,0.7456266585,282,23.5444077965,255,-144,40,1.9583333333,179,-50,0.56,14,11,40.2142857143,-34.9090909091
5,a,13,13,0.6392482442,257,25.0278572601,255,-202,133,1.2722772277,202,-42,0.5238095238,11,10,41.1818181818,-25.1
6,a,3,3,0.1350518935,54,24.8916205666,255,-313,131,0.1725239617,-63,-59,0.4827586207,14,15,39.5,-41.0666666667
