,asset,scenario,chan,param,sharp_ratio,tot_pnl,std_pnl,num_days,max_drawdown,max_dd_period,profit_dd_ratio,all_profit,tot_cost,win_ratio,num_win,num_loss,profit_per_win,profit_per_loss
8,TA,26,1,5,0.5395002009405911,412.0,47.54071347814865,255,-634.0,92,0.6498422712933754,258.0,-82.0,0.5,10,10,118.4,-92.6
9,TA,30,1,9,0.49859416380450583,374.0,46.696518386238665,255,-408.0,34,0.9166666666666666,210.0,-118.0,0.4482758620689655,13,16,108.15384615384616,-74.75
0,MA,36,1,15,3.1116166201094497,312.0,16.933273706158744,94,-85.0,43,3.6705882352941175,209.0,-23.0,0.5454545454545454,6,5,50.166666666666664,-18.4
1,MA,35,1,14,2.884919838813182,275.0,16.097979143660336,94,-82.0,43,3.3536585365853657,175.0,-27.0,0.5384615384615384,7,6,40.57142857142857,-18.166666666666668
2,MA,37,1,16,2.809352525025155,276.0,16.591103011961316,94,-91.0,43,3.032967032967033,189.0,-23.0,0.5454545454545454,6,5,48.0,-19.8
3,MA,28,1,7,2.719659609988094,287.0,17.821315629889444,94,-105.0,43,2.7333333333333334,185.0,-19.0,0.5555555555555556,5,4,53.2,-20.25
4,MA,21,1,0,2.5981120865069762,276.0,17.940048615173875,94,-105.0,43,2.6285714285714286,179.0,-19.0,0.5555555555555556,5,4,52.0,-20.25
5,MA,15,0,15,2.5935731251755882,322.0,20.966685998436542,94,-154.0,43,2.090909090909091,228.0,-27.0,0.5384615384615384,7,5,55.57142857142857,-32.2
6,MA,14,0,14,2.415137698027888,291.0,20.3480833944277,94,-151.0,43,1.9271523178807948,198.0,-31.0,0.5333333333333333,8,6,46.875,-29.5
7,MA,16,0,16,2.2712419696956507,285.0,21.19111810679972,94,-160.0,43,1.78125,187.0,-27.0,0.5384615384615384,7,5,52.142857142857146,-35.6
8,MA,7,0,7,2.1843538410693846,274.0,21.18361081574296,94,-172.0,43,1.5930232558139534,176.0,-23.0,0.5454545454545454,6,5,55.333333333333336,-31.2
9,MA,0,0,0,2.086886646133949,263.0,21.28282652989981,94,-172.0,43,1.5290697674418605,170.0,-23.0,0.5454545454545454,6,5,54.333333333333336,-31.2
0,i,7,0,7,2.0220815494745357,150.5,4.6333800395956235,255,-45.5,52,3.3076923076923075,93.0,-46.5,0.4782608695652174,22,24,10.045454545454545,-5.333333333333333
1,i,18,0,18,1.8591911664991738,147.0,4.922133373145143,255,-60.0,58,2.45,106.5,-35.0,0.45714285714285713,16,19,12.59375,-5.0
2,i,15,0,15,1.8454409184660303,137.5,4.638340663086271,255,-41.5,52,3.3132530120481927,83.5,-50.5,0.42,21,26,9.904761904761905,-4.788461538461538
3,i,17,0,17,1.8306548274582712,144.0,4.896842286786269,255,-58.0,58,2.4827586206896552,105.0,-39.0,0.48717948717948717,19,20,11.263157894736842,-5.45
4,i,0,0,0,1.7908852260596666,135.0,4.692735805226661,255,-49.5,52,2.727272727272727,75.5,-44.5,0.4090909090909091,18,23,11.38888888888889,-5.630434782608695
5,i,14,0,14,1.7432916544332528,132.0,4.7137220478336905,255,-46.0,50,2.869565217391304,85.5,-56.5,0.44642857142857145,25,30,9.46,-5.033333333333333
6,i,16,0,16,1.7242426020197033,131.5,4.747745944628054,255,-53.0,52,2.481132075471698,81.0,-46.5,0.45652173913043476,21,23,9.285714285714286,-4.956521739130435
7,i,8,0,8,1.7023280833726258,129.5,4.7357263009325665,255,-45.0,37,2.8777777777777778,82.5,-42.5,0.4523809523809524,19,22,10.868421052631579,-5.636363636363637
8,i,2,0,2,1.6805178872541566,132.0,4.889797585393818,255,-62.5,58,2.112,95.0,-32.5,0.53125,17,15,11.147058823529411,-6.3
9,i,1,0,1,1.6285532494860007,125.0,4.778241979859831,255,-50.5,58,2.4752475247524752,82.5,-38.5,0.47368421052631576,18,19,10.833333333333334,-5.921052631578948
0,ru,39,1,18,1.5626327488528224,3185.0,126.88567806181081,255,-1055.0,97,3.018957345971564,2660.0,-295.0,0.4827586206896552,14,15,387.85714285714283,-184.66666666666666
1,ru,27,1,6,1.5568077096188448,3655.0,146.1546030031303,255,-1560.0,97,2.342948717948718,3145.0,-165.0,0.4375,7,9,762.1428571428571,-243.33333333333334
2,ru,23,1,2,1.5070319454096925,3270.0,135.07823715480055,255,-1075.0,58,3.041860465116279,2830.0,-245.0,0.5,12,11,417.5,-198.1818181818182
3,ru,22,1,1,1.4911118652513005,3155.0,131.7192434156703,255,-1370.0,103,2.302919708029197,2555.0,-305.0,0.4,12,17,460.4166666666667,-174.7058823529412
4,ru,29,1,8,1.4843173867840527,3080.0,129.17665422795918,255,-1255.0,103,2.454183266932271,2595.0,-325.0,0.375,12,19,482.5,-168.1578947368421
5,ru,30,1,9,1.4617016893537074,3120.0,132.87887270899446,255,-1210.0,58,2.5785123966942147,2655.0,-275.0,0.4074074074074074,11,15,470.90909090909093,-168.33333333333334
6,ru,37,1,16,1.3802311213707115,2710.0,122.22993060781106,255,-1020.0,46,2.656862745098039,2270.0,-375.0,0.5135135135135135,19,17,297.89473684210526,-199.41176470588235
7,ru,21,1,0,1.3794093573622095,2820.0,127.26706555503046,255,-1335.0,103,2.1123595505617976,2465.0,-355.0,0.4,14,20,417.85714285714283,-169.25
8,ru,40,1,19,1.3675759585995868,2910.0,132.46514568623968,255,-1040.0,97,2.798076923076923,2395.0,-265.0,0.46153846153846156,12,14,430.0,-197.5
9,ru,38,1,17,1.3172653290586998,2740.0,129.4903460873172,255,-930.0,46,2.946236559139785,2200.0,-325.0,0.46875,15,17,360.6666666666667,-188.8235294117647
0,j,29,1,8,2.0185894921538425,189.0,5.828729297594892,255,-53.0,77,3.5660377358490565,104.0,-36.5,0.4444444444444444,16,18,15.0,-7.555555555555555
1,j,38,1,17,2.0156965317526008,187.5,5.7907686354690595,255,-57.5,77,3.260869565217391,96.5,-35.5,0.4,14,19,17.142857142857142,-7.552631578947368
2,j,41,1,20,1.9311214939899495,181.0,5.834841552746214,255,-69.0,82,2.6231884057971016,101.0,-28.5,0.42857142857142855,12,15,19.666666666666668,-9.0
3,j,37,1,16,1.9132082912956085,176.5,5.743049312722996,255,-51.0,77,3.4607843137254903,86.5,-40.5,0.375,15,24,15.066666666666666,-5.8125
4,j,17,0,17,1.8712926968754195,193.0,6.42060091448878,255,-68.0,40,2.838235294117647,91.0,-41.5,0.4146341463414634,17,23,15.941176470588236,-7.826086956521739
5,j,22,1,1,1.862276709953828,174.5,5.833259665605987,255,-67.0,77,2.6044776119402986,92.0,-33.5,0.45454545454545453,15,16,15.466666666666667,-8.75
6,j,30,1,9,1.8511907968381878,173.5,5.834563711527645,255,-53.5,82,3.2429906542056073,93.5,-32.5,0.46875,15,17,15.233333333333333,-7.9411764705882355
7,j,36,1,15,1.8196443827951894,167.0,5.71333960991507,255,-49.5,77,3.3737373737373737,93.0,-46.5,0.34782608695652173,16,30,15.8125,-5.333333333333333
8,j,39,1,18,1.8101970060650834,170.5,5.863522972752762,255,-61.5,82,2.772357723577236,82.0,-34.5,0.38235294117647056,13,21,18.884615384615383,-7.785714285714286
9,j,23,1,2,1.794143419654094,169.0,5.863941620821866,255,-65.5,82,2.5801526717557253,91.0,-28.5,0.5,14,14,16.321428571428573,-9.821428571428571
0,jm,38,1,17,1.0593260521118508,62.0,3.643528126074557,255,-57.5,71,1.0782608695652174,23.0,-32.0,0.375,12,18,11.541666666666666,-6.416666666666667
1,jm,37,1,16,0.9922100848505327,58.5,3.6703908971193138,255,-59.5,91,0.9831932773109243,26.0,-36.0,0.3611111111111111,13,22,12.0,-5.909090909090909
2,jm,39,1,18,0.9068861393414442,55.5,3.8097836073436797,255,-52.0,71,1.0673076923076923,30.0,-29.0,0.41379310344827586,12,16,10.833333333333334,-6.25
3,jm,16,0,16,0.8379456040163338,53.0,3.937496063602827,255,-85.0,91,0.6235294117647059,7.5,-46.0,0.2826086956521739,13,30,13.115384615384615,-5.433333333333334
4,jm,14,0,14,0.8259797771119011,51.0,3.8438006126236957,255,-79.5,92,0.6415094339622641,1.5,-55.0,0.34545454545454546,19,32,8.631578947368421,-5.078125
5,jm,17,0,17,0.8049652308349958,51.0,3.9441474633434317,255,-79.5,91,0.6415094339622641,0.0,-41.0,0.2926829268292683,12,25,12.541666666666666,-6.02
6,jm,35,1,14,0.7813923596464325,45.5,3.62495255062566,255,-57.5,92,0.7913043478260869,0.5,-49.0,0.3877551020408163,19,28,7.842105263157895,-5.303571428571429
7,jm,18,0,18,0.7791657904159707,51.0,4.074744569551154,255,-77.5,81,0.6580645161290323,13.0,-37.0,0.32432432432432434,12,22,12.0,-5.954545454545454
8,jm,22,1,1,0.7543002890954735,44.5,3.672618577989238,255,-64.0,71,0.6953125,17.5,-30.0,0.4666666666666667,14,16,9.892857142857142,-7.5625
9,jm,29,1,8,0.7481297821537293,44.0,3.661304274262022,255,-59.5,71,0.7394957983193278,14.0,-33.0,0.42424242424242425,14,19,10.178571428571429,-6.7631578947368425
0,ag,2,0,2,1.069509848128219,473.0,27.531916437592407,255,-247.0,30,1.9149797570850202,375.0,-61.0,0.4666666666666667,14,16,65.92857142857143,-34.25
1,ag,18,0,18,0.9745203869830131,417.0,26.638220894293116,255,-232.0,41,1.7974137931034482,357.0,-65.0,0.40625,13,19,73.92307692307692,-31.789473684210527
2,ag,19,0,19,0.8799877417627174,373.0,26.387138664943535,255,-242.0,41,1.5413223140495869,282.0,-61.0,0.43333333333333335,13,17,69.23076923076923,-36.35294117647059
3,ag,1,0,1,0.6873355659974484,297.0,26.89971770136546,255,-287.0,198,1.0348432055749128,206.0,-73.0,0.4166666666666667,15,21,59.2,-32.476190476190474
4,ag,9,0,9,0.6773866514019098,288.0,26.46768415956952,255,-283.0,119,1.017667844522968,199.0,-71.0,0.37142857142857144,13,21,70.84615384615384,-34.38095238095238
5,ag,8,0,8,0.6644420433973626,273.0,25.57794397829024,255,-264.0,198,1.0340909090909092,202.0,-79.0,0.4358974358974359,17,22,57.8235294117647,-35.5
6,ag,0,0,0,0.650006372769754,281.0,26.912174821454013,255,-211.0,29,1.3317535545023698,210.0,-81.0,0.4,16,24,65.3125,-34.791666666666664
7,ag,17,0,17,0.6435936597982929,284.0,27.470506873319678,255,-289.0,41,0.9826989619377162,238.0,-73.0,0.4166666666666667,15,21,70.13333333333334,-38.76190476190476
8,ag,20,0,20,0.6005493421229614,260.0,26.951611784796164,255,-252.0,30,1.0317460317460319,191.0,-59.0,0.4482758620689655,13,16,63.23076923076923,-39.4375
9,ag,7,0,7,0.5793631384897758,249.0,26.755223113855042,255,-253.0,118,0.9841897233201581,161.0,-89.0,0.4090909090909091,18,26,61.333333333333336,-36.26923076923077
0,cu,21,1,0,2.1145000377725487,10790.0,317.6682696387517,255,-1510.0,1,7.145695364238411,8620.0,-530.0,0.5384615384615384,14,12,920.7142857142857,-355.8333333333333
1,cu,28,1,7,2.007914622345736,10110.0,313.4483608859725,255,-1510.0,1,6.695364238410596,7720.0,-610.0,0.5333333333333333,16,14,765.0,-322.85714285714283
2,cu,22,1,1,1.7677750132292833,9330.0,328.5600399638501,255,-1870.0,119,4.989304812834225,7320.0,-450.0,0.5454545454545454,12,10,995.8333333333334,-463.0
3,cu,38,1,17,1.7657341650184177,9060.0,319.42063404604437,255,-1740.0,58,5.206896551724138,6220.0,-610.0,0.5333333333333333,16,14,724.375,-383.57142857142856
4,cu,37,1,16,1.7087684518856936,8380.0,305.295843327525,255,-1730.0,58,4.84393063583815,5690.0,-670.0,0.5757575757575758,19,14,592.1052631578947,-397.14285714285717
5,cu,31,1,10,1.6720885952476494,9690.0,360.7651536151907,255,-2440.0,120,3.971311475409836,6210.0,-370.0,0.5555555555555556,10,8,1165.0,-680.0
6,cu,29,1,8,1.6514622183422387,8560.0,322.6749208161354,255,-1720.0,119,4.976744186046512,6760.0,-510.0,0.52,13,12,902.3076923076923,-414.1666666666667
7,cu,23,1,2,1.6410439937532741,9240.0,350.51922050904915,255,-2500.0,119,3.696,5440.0,-410.0,0.45,9,10,1171.111111111111,-510.0
8,cu,40,1,19,1.5902702465701015,9110.0,356.621509061981,255,-3890.0,119,2.341902313624679,5570.0,-390.0,0.47368421052631576,9,10,1287.7777777777778,-602.0
9,cu,32,1,11,1.5570934536129655,9330.0,373.0156514665297,255,-3480.0,56,2.6810344827586206,6740.0,-330.0,0.625,10,6,1044.0,-616.6666666666666
0,au,15,0,15,1.2833558983909013,26.250000000000114,1.2733338567317674,255,-17.849999999998545,128,1.4705882352942439,19.749999999999005,-4.549999999999994,0.35555555555555557,16,29,3.8687499999999773,-1.4534482758620908
1,au,17,0,17,1.1991027671094805,25.300000000000068,1.3134822430861324,255,-15.649999999999636,155,1.6166134185303933,19.14999999999918,-3.9499999999999957,0.358974358974359,14,25,4.289285714285689,-1.6360000000000183
2,au,18,0,18,1.1524352618170983,24.65000000000012,1.331559187106004,255,-13.849999999998545,129,1.7797833935020007,18.44999999999939,-3.549999999999997,0.37142857142857144,13,22,4.430769230769213,-1.7795454545454716
3,au,16,0,16,1.016234843357315,21.40000000000009,1.3109308444245533,255,-21.94999999999891,128,0.9749430523918522,15.299999999999272,-4.349999999999994,0.3488372093023256,15,28,4.10666666666665,-1.6535714285714451
4,au,19,0,19,0.9684082393581784,21.450000000000102,1.37888774141607,255,-15.350000000000364,128,1.3973941368077911,15.599999999999397,-3.4499999999999975,0.35294117647058826,12,22,4.841666666666652,-1.9318181818182012
5,au,14,0,14,0.9661748782641606,19.550000000000182,1.2596535373350624,255,-17.25,128,1.133333333333344,13.099999999998914,-5.049999999999993,0.36,18,32,3.380555555555541,-1.4921875000000258
6,au,2,0,2,0.9237908590829288,21.000000000000142,1.4151605849660007,255,-17.99999999999818,155,1.1666666666667924,17.049999999999443,-3.349999999999998,0.36363636363636365,12,21,4.79583333333332,-1.9285714285714475
7,au,0,0,0,0.8709599750368506,18.40000000000012,1.3151634037057192,255,-21.149999999999636,128,0.869976359338082,13.499999999999233,-4.149999999999995,0.34146341463414637,14,27,4.296428571428554,-1.727777777777797
8,au,9,0,9,0.855470689634875,19.400000000000205,1.411746389349039,255,-16.69999999999891,154,1.161676646706675,15.649999999999295,-3.649999999999997,0.3333333333333333,12,24,4.937499999999983,-1.8166666666666877
9,au,1,0,1,0.8466687317818267,18.050000000000153,1.327161501154502,255,-16.099999999998545,233,1.121118012422471,12.599999999999426,-3.7499999999999964,0.40540540540540543,15,22,3.7499999999999885,-1.9840909090909273
0,l,30,1,9,1.7434855560206133,1955.0,69.805316074286,255,-560.0,117,3.4910714285714284,1610.0,-265.0,0.5384615384615384,14,12,195.0,-93.33333333333333
1,l,2,0,2,1.7048344586829314,2210.0,80.69937082433523,255,-490.0,1,4.510204081632653,1655.0,-325.0,0.5,16,15,193.4375,-96.0
2,l,33,1,12,1.6060950128095581,1625.0,62.985737913314885,255,-635.0,183,2.559055118110236,1390.0,-195.0,0.42105263157894735,8,11,323.125,-108.63636363636364
3,l,9,0,9,1.5956622184650635,2035.0,79.39324288372178,255,-405.0,1,5.0246913580246915,1530.0,-375.0,0.4864864864864865,18,18,164.16666666666666,-79.16666666666667
4,l,37,1,16,1.585729914027209,1780.0,69.8796744794752,255,-580.0,61,3.0689655172413794,1350.0,-375.0,0.5135135135135135,19,18,159.21052631578948,-93.05555555555556
5,l,23,1,2,1.5528095876537051,1820.0,72.96477944651696,255,-720.0,189,2.5277777777777777,1425.0,-245.0,0.4166666666666667,10,14,271.0,-91.78571428571429
6,l,32,1,11,1.5504632796757105,1560.0,62.63588285650267,255,-680.0,167,2.2941176470588234,1325.0,-215.0,0.38095238095238093,8,12,327.5,-107.91666666666667
7,l,38,1,17,1.499066510162383,1800.0,74.75008539344289,255,-605.0,7,2.975206611570248,1300.0,-335.0,0.5151515151515151,17,16,168.23529411764707,-97.5
8,l,1,0,1,1.4664307826236938,1790.0,75.9891440122839,255,-505.0,70,3.5445544554455446,1360.0,-395.0,0.48717948717948717,19,20,161.05263157894737,-85.0
