,asset,scenario,chan,param,sharp_ratio,tot_pnl,std_pnl,num_days,max_drawdown,max_dd_period,profit_dd_ratio,all_profit,tot_cost,win_ratio,num_win,num_loss,profit_per_win,profit_per_loss
2,i,6,1,0,1.2511690666521933,289.5,7.604763441376992,483,-75.5,28,3.834437086092715,221.0,-36.5,0.3888888888888889,14,21,31.142857142857142,-10.238095238095237
3,i,2,0,2,1.0938005840176137,228.5,6.865958800944325,483,-67.0,47,3.41044776119403,152.0,-44.5,0.38636363636363635,17,27,24.470588235294116,-9.777777777777779
4,i,20,3,2,1.0859940842527798,219.5,6.642938085664529,483,-72.0,68,3.048611111111111,169.5,-21.5,0.3333333333333333,7,14,42.07142857142857,-8.928571428571429
5,i,9,1,3,1.0587304305142873,452.0,14.031567134461287,483,-131.5,107,3.4372623574144487,340.0,-56.0,0.4727272727272727,26,29,28.21153846153846,-13.568965517241379
6,i,3,0,3,1.0342045127808912,375.5,11.93319266463478,483,-124.5,107,3.0160642570281126,248.5,-71.0,0.4142857142857143,29,40,22.810344827586206,-10.325
7,i,8,1,2,1.0298836271930552,243.5,7.7707681467211795,483,-80.5,30,3.0248447204968945,178.0,-33.5,0.45454545454545453,15,18,29.4,-14.61111111111111
8,i,0,0,0,1.0050681095445781,207.0,6.769054205937213,483,-89.5,107,2.3128491620111733,126.5,-48.5,0.3333333333333333,16,32,25.90625,-9.0
9,i,15,2,3,0.9995707702048774,409.0,13.448161000153824,483,-134.0,119,3.0522388059701493,311.0,-48.0,0.425531914893617,20,26,31.375,-12.173076923076923
0,ru,11,1,5,1.243994112489862,43460.0,751.4763297700954,738,-11040.0,393,3.9365942028985508,38310.0,-1470.0,0.42758620689655175,62,83,1192.9032258064517,-429.51807228915663
1,ru,25,4,1,1.2103071421624354,22945.0,407.7898148933178,738,-7070.0,210,3.2454031117397455,20885.0,-570.0,0.2857142857142857,16,40,2030.3125,-290.0
2,ru,29,4,5,1.1785174358358474,43365.0,791.4933076812356,738,-10770.0,165,4.0264623955431755,39140.0,-770.0,0.44,33,41,1780.909090909091,-478.780487804878
3,ru,27,4,3,1.1372139515513138,22115.0,418.3007788562508,738,-7530.0,209,2.9369189907038513,19825.0,-420.0,0.4634146341463415,19,22,1663.157894736842,-535.2272727272727
4,ru,19,3,1,1.1192056179160186,18170.0,349.2118355110181,738,-6130.0,210,2.964110929853181,15970.0,-710.0,0.3142857142857143,22,48,1332.7272727272727,-278.125
5,ru,13,2,1,1.1148808363886697,18910.0,364.84381387088547,738,-5865.0,399,3.2242114236999146,16550.0,-870.0,0.313953488372093,27,59,1217.4074074074074,-276.6101694915254
6,ru,28,4,4,1.0806140397288049,30120.0,599.5539524680898,738,-9010.0,210,3.3429522752497225,26820.0,-625.0,0.39344262295081966,24,37,1851.25,-475.94594594594594
7,ru,6,1,0,1.053002394956206,10565.0,215.81620477569504,738,-2575.0,393,4.1029126213592235,8865.0,-595.0,0.3050847457627119,18,41,1237.7777777777778,-327.1951219512195
8,ru,10,1,4,1.0373998937042104,28035.0,581.2972519306254,738,-9590.0,393,2.923357664233577,23985.0,-1195.0,0.3898305084745763,46,72,1226.0869565217392,-450.2083333333333
9,ru,24,4,0,1.0351111551271706,10450.0,217.15668840084214,738,-4745.0,209,2.20231822971549,9080.0,-315.0,0.2903225806451613,9,22,1891.6666666666667,-361.1363636363636
0,j,26,4,2,2.045198113113407,1304.0,13.714693824569089,738,-182.5,106,7.145205479452055,1162.5,-17.5,0.47058823529411764,8,8,178.1875,-32.875
1,j,27,4,3,2.0131953625759937,2374.0,25.36522399670741,738,-352.0,106,6.744318181818182,2143.0,-37.0,0.4444444444444444,16,20,167.4375,-26.8
2,j,29,4,5,1.9134013501130953,4287.0,48.19381608731373,738,-687.0,356,6.240174672489083,3838.5,-72.0,0.4714285714285714,33,36,147.1969696969697,-28.305555555555557
3,j,25,4,1,1.885758889454297,2111.0,24.0794175794404,738,-391.0,297,5.398976982097187,1856.5,-55.0,0.2962962962962963,16,38,157.03125,-17.263157894736842
4,j,28,4,4,1.8729123249451587,3140.0,36.06252312987325,738,-624.5,311,5.028022417934348,2798.5,-57.5,0.42857142857142855,24,31,155.60416666666666,-30.193548387096776
5,j,24,4,0,1.8556351780652087,1108.0,12.843727180087164,738,-208.5,101,5.314148681055156,978.0,-27.5,0.2962962962962963,8,18,167.8125,-20.25
6,j,20,3,2,1.5550850002471956,863.5,11.944063898533736,738,-210.0,360,4.1119047619047615,770.5,-32.5,0.4375,14,17,80.0,-20.558823529411764
7,j,18,3,0,1.519517927333552,815.5,11.544152246280323,738,-226.5,360,3.6004415011037527,717.5,-37.5,0.3783783783783784,14,22,79.78571428571429,-18.15909090909091
8,j,6,1,0,1.4604413445591051,916.5,13.498709733783809,738,-203.0,107,4.514778325123153,804.5,-51.5,0.37254901960784315,19,32,69.65789473684211,-16.21875
9,j,23,3,5,1.4511734254775697,2706.0,40.10997432940566,738,-801.5,360,3.376169681846538,2387.0,-101.0,0.4444444444444444,44,53,85.56818181818181,-26.0
0,jd,8,1,2,0.14279548479353682,120.0,37.26353180554316,358,-567.0,197,0.21164021164021163,4.0,-53.0,0.38461538461538464,10,16,119.3,-74.3125
1,jd,0,0,0,0.02289970792686496,16.0,30.981845452852372,358,-620.0,262,0.025806451612903226,-118.0,-71.0,0.34285714285714286,12,23,80.66666666666667,-47.21739130434783
2,jd,6,1,0,-0.052786604627169484,-41.0,34.44112845197706,358,-644.0,262,-0.06366459627329192,-167.0,-63.0,0.3225806451612903,10,21,107.2,-59.0
3,jd,2,0,2,-0.05284285141299191,-40.0,33.56533537340291,358,-789.0,263,-0.050697084917617236,-168.0,-65.0,0.375,12,20,87.41666666666667,-60.85
4,jd,29,4,5,-0.05499456151534262,-148.0,119.33263088743456,358,-2060.0,359,-0.07184466019417475,-248.0,-83.0,0.2926829268292683,12,28,175.75,-84.17857142857143
5,jd,14,2,2,-0.0683970090816818,-53.0,34.360225264099746,358,-541.0,415,-0.09796672828096119,-113.0,-43.0,0.38095238095238093,8,13,120.5,-82.84615384615384
6,jd,28,4,4,-0.10479242508569411,-215.0,90.97578524578716,358,-1629.0,359,-0.1319828115408226,-299.0,-67.0,0.30303030303030304,10,23,167.3,-85.73913043478261
7,jd,11,1,5,-0.15436663123589972,-380.0,109.15595001233054,358,-2052.0,342,-0.18518518518518517,-650.0,-161.0,0.3924050632911392,31,48,85.12903225806451,-68.52083333333333
8,jd,1,0,1,-0.18585445246614038,-226.0,53.92035130281402,358,-1171.0,448,-0.19299743808710504,-450.0,-126.0,0.2903225806451613,18,44,82.72222222222223,-44.06818181818182
9,jd,9,1,3,-0.202426296724634,-290.0,63.52553212630059,358,-1290.0,342,-0.2248062015503876,-464.0,-94.0,0.391304347826087,18,28,102.94444444444444,-82.75
0,jm,23,3,5,1.377381646700209,1310.5,24.32155867119888,621,-550.5,353,2.380563124432334,1240.5,-70.0,0.44285714285714284,31,38,61.87096774193548,-17.82894736842105
1,jm,19,3,1,1.358621341791955,671.5,12.634447491476841,621,-315.0,351,2.1317460317460317,616.5,-55.0,0.2909090909090909,16,38,65.125,-11.197368421052632
2,jm,22,3,4,1.2504360448456282,902.0,18.43969458808905,621,-460.5,351,1.9587404994571118,842.0,-60.0,0.38333333333333336,23,35,62.869565217391305,-17.257142857142856
3,jm,13,2,1,1.1807455280941657,619.5,13.412003914212672,621,-331.5,343,1.8687782805429864,548.5,-71.0,0.22535211267605634,16,54,70.6875,-10.787037037037036
4,jm,17,2,5,1.1202924228266493,1128.0,25.738685972417677,621,-685.0,353,1.6467153284671532,1039.0,-89.0,0.3595505617977528,32,56,63.8125,-17.910714285714285
