,asset,scenario,rsi_trigger,rsi_len,atr_period,atrma_period,stoploss,sharp_ratio,tot_pnl,std_pnl,num_days,max_drawdown,max_dd_period,profit_dd_ratio,all_profit,tot_cost,win_ratio,num_win,num_loss,profit_per_win,profit_per_loss
5,jm,201,2,1,0,0,5,0.873645733846,338.5,14.7145607086,418,-138.5,127,2.4440433213,338.5,16.0,0.4375,7,9,79.6428571429,-24.3333333333
6,jm,223,2,1,1,1,6,0.858999107653,395.5,17.4854882535,418,-209.0,206,1.89234449761,395.5,15.0,0.266666666667,4,11,175.25,-27.7727272727
7,jm,230,2,2,0,0,6,0.831141199816,332.5,15.192905179,418,-173.5,288,1.91642651297,332.5,10.0,0.2,2,8,266.0,-24.9375
8,jm,208,2,1,0,1,5,0.823031167759,331.0,15.273399106,418,-148.0,127,2.23648648649,331.0,16.0,0.5625,9,7,62.6666666667,-33.2857142857
9,jm,293,3,1,0,1,6,0.819863662791,333.0,15.4250501137,418,-205.0,288,1.6243902439,333.0,7.0,0.142857142857,1,6,496.5,-27.25
10,jm,307,3,1,1,1,6,0.790505537444,317.5,15.2532645185,418,-219.0,288,1.4497716895,317.5,7.0,0.142857142857,1,6,496.5,-29.8333333333
11,jm,222,2,1,1,1,5,0.759667749042,310.0,15.4975124246,418,-152.0,127,2.03947368421,310.0,16.0,0.5625,9,7,60.7222222222,-33.7857142857
12,jm,146,1,2,0,0,6,0.758665742632,363.5,18.1960838633,418,-224.5,228,1.61915367483,363.5,18.0,0.5,9,9,84.6111111111,-44.2222222222
13,jm,244,2,2,1,0,6,0.758424908804,308.5,15.4477975421,418,-193.5,288,1.59431524548,308.5,10.0,0.2,2,8,257.5,-25.8125
14,jm,215,2,1,1,0,5,0.749628786731,295.5,14.9704625151,418,-153.0,205,1.93137254902,295.5,16.0,0.4375,7,9,76.6428571429,-26.7777777778
15,jm,237,2,2,0,1,6,0.686965255558,285.5,15.7832097748,418,-215.5,288,1.32482598608,285.5,10.0,0.2,2,8,248.5,-26.4375
